qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1503,158,57,1,1,1,01:30.6,\N,\N
1525,160,57,1,1,1,01:24.7,\N,\N
1547,161,22,6,4,1,01:25.7,\N,\N
1569,173,30,6,3,1,01:35.8,\N,\N
1591,175,57,1,1,1,01:30.5,\N,\N
1613,176,57,1,1,1,01:16.6,\N,\N
1634,177,57,1,1,1,01:26.4,\N,\N
1656,191,57,1,8,1,01:30.0,\N,\N
1678,192,57,1,8,1,01:17.1,\N,\N
1700,193,14,1,7,1,01:25.9,\N,\N
1722,199,57,1,8,1,01:23.3,\N,\N
1744,200,21,22,5,1,01:29.6,\N,\N
1766,201,57,1,8,1,01:41.8,\N,\N
1787,203,57,1,8,1,01:48.7,\N,\N
1809,207,35,3,3,1,01:29.4,\N,\N
1831,208,35,3,3,1,01:16.0,\N,\N
1853,209,35,3,3,1,01:24.5,\N,\N
1875,210,35,3,3,1,01:23.3,\N,\N
1897,211,49,3,4,1,01:18.2,\N,\N
1919,212,35,3,3,1,01:16.5,\N,\N
1941,213,30,6,5,1,01:18.1,\N,\N
1963,214,30,6,5,1,01:14.5,\N,\N
1985,215,35,3,3,1,01:21.6,\N,\N
2007,216,77,22,8,1,01:41.9,\N,\N
2029,224,35,3,6,1,01:32.4,\N,\N
2049,225,71,3,5,1,01:18.1,\N,\N
2071,226,71,3,5,1,01:30.3,\N,\N
2093,227,71,3,5,1,01:18.9,\N,\N
2113,228,30,6,1,1,01:26.9,\N,\N
2134,229,30,6,1,1,01:20.4,\N,\N
2156,230,71,3,5,1,01:20.7,\N,\N
2176,240,71,3,5,1,01:20.1,\N,\N
2202,241,14,3,6,1,01:53.2,\N,\N
2228,242,30,22,1,1,01:27.3,\N,\N
2254,243,30,22,1,1,01:21.5,\N,\N
2280,244,71,3,5,1,01:22.0,\N,\N
2306,245,30,22,1,1,01:27.7,\N,\N
2330,246,71,3,5,1,01:17.2,\N,\N
2354,247,71,3,5,1,01:28.1,\N,\N
2378,248,71,3,5,1,01:44.4,\N,\N
2402,249,71,3,5,1,01:17.0,\N,\N
2426,250,77,6,28,1,01:54.4,\N,\N
2450,251,14,3,6,1,01:24.5,\N,\N
2474,252,14,3,6,1,01:20.5,\N,\N
2498,253,14,3,6,1,01:18.7,\N,\N
2522,254,14,3,6,1,01:14.0,\N,\N
2546,255,30,22,1,1,01:38.0,\N,\N
2570,256,71,3,5,1,\N,\N,\N
2594,257,102,3,2,1,01:16.0,\N,\N
2620,258,102,3,2,1,01:10.2,\N,\N
2646,259,102,3,2,1,01:21.5,\N,\N
2674,261,30,22,5,1,01:21.9,\N,\N
2700,262,30,22,5,1,01:26.2,\N,\N
2726,263,71,3,0,1,01:16.3,\N,\N
2752,264,71,3,0,1,01:25.0,\N,\N
2778,265,77,6,28,1,01:43.6,\N,\N
2804,266,30,22,5,1,01:18.3,\N,\N
2830,267,22,17,14,1,02:21.2,\N,\N
2856,268,55,6,27,1,01:23.8,\N,\N
2882,269,77,6,28,1,01:20.6,\N,\N
2908,270,30,22,5,1,01:22.8,\N,\N
2934,271,30,22,5,1,01:37.2,\N,\N
2960,272,95,3,2,1,01:16.2,\N,\N
3326,337,20,9,5,1,01:55.0,01:53.9,01:54.1
3350,338,20,9,5,1,01:24.8,01:24.1,01:23.9
3374,339,17,9,6,1,01:51.9,01:48.2,01:49.3
3398,340,20,9,5,1,01:36.3,01:35.3,01:34.6
3422,341,17,9,6,1,01:21.4,01:20.7,01:20.0
3446,342,17,9,6,1,01:15.0,01:14.5,01:13.8
3470,343,17,9,6,1,01:27.5,01:26.8,01:26.3
3494,344,1,1,2,1,01:15.9,01:15.5,01:15.1
3518,345,20,9,5,1,01:38.3,01:38.0,01:37.6
3542,346,20,9,5,1,01:30.8,01:30.5,01:29.6
3566,347,20,9,5,1,01:15.2,01:14.2,01:13.8
3590,348,20,9,5,1,01:20.4,01:19.6,01:18.8
3614,349,17,9,6,1,01:57.4,01:47.3,01:45.8
3638,350,4,6,8,1,01:22.6,01:22.3,01:22.0
3662,351,4,6,8,1,01:46.5,01:45.8,01:45.4
3686,352,20,9,5,1,01:32.0,01:31.2,01:30.8
3710,353,20,9,5,1,01:37.1,01:36.1,01:35.6
3734,354,807,3,10,1,01:20.0,01:19.1,01:14.5
3758,355,20,9,5,1,01:40.3,01:39.9,01:39.4
4537,841,20,9,1,1,01:25.3,01:24.1,01:23.5
4562,842,20,9,1,1,01:37.5,01:35.9,01:34.9
4586,843,20,9,1,1,01:35.7,01:34.8,01:33.7
4610,844,20,9,1,1,01:27.0,01:25.6,01:25.0
4633,845,17,9,2,1,01:23.6,01:21.8,01:21.0
4656,846,20,9,1,1,01:15.6,01:14.3,01:13.6
4680,847,20,9,1,1,01:14.0,01:13.5,01:13.0
4704,848,20,9,1,1,01:39.1,01:37.3,01:37.0
4728,849,17,9,2,1,01:32.7,01:31.7,01:30.4
4752,850,17,9,2,1,01:33.1,01:31.3,01:30.1
4776,851,20,9,1,1,01:21.7,01:21.1,01:19.8
4800,852,20,9,1,1,02:03.0,02:03.3,01:48.3
5926,853,20,9,1,1,01:24.0,01:22.9,01:22.3
4823,854,20,9,1,1,01:46.4,01:44.9,01:44.4
4847,855,20,9,1,1,01:33.1,01:31.4,01:30.5
4871,856,1,1,3,1,01:37.5,01:36.5,01:35.8
